"key", "en", "fr", "es", "ru", "ge", "po", "ma", "pl", "it", "ch", "tu", "vi", "uk", "hi", "in", "ar"
"tut4", "As the operator, your job will be to move platforms underneath the 'Springman' to let him create an ascending path.", "En tant qu’opérateur, votre travail sera de déplacer des plates-formes sous le 'Springman' pour le laisser créer un chemin ascendant.", "Como operador, su trabajo será mover plataformas debajo del 'Springman' para permitirle crear un camino ascendente.", "Как оператор, ваша работа будет двигаться платформ под "Springman", чтобы позволить ему создать восходящий путь.", "Als Operator wird es Ihre Aufgabe sein, Plattformen unter dem 'Springman' zu verschieben, damit er einen aufsteigenden Pfad erstellen kann.", "Como operador, o seu trabalho será mover plataformas por baixo do 'Springman' para deixá-lo criar um caminho ascendente.", "Sebagai pengendali, tugas anda adalah untuk memindahkan platform di bawah 'Springman' untuk membiarkan dia mencipta jalan yang naik.", "Jako operator, Twoim zadaniem będzie przeniesienie platform pod 'Springman', aby pozwolić mu stworzyć ścieżkę wznoszącą.", "Come operatore, il vostro compito sarà quello di spostare le piattaforme sotto il 'Springman' per fargli creare un percorso ascendente.", "作为操作员, 您的工作将是在 'Springman' 下方移动平台, 让他创建提升路径.", "Operatör olarak, işiniz onu yükselen bir yol oluşturmak için 'Springman' altında platformlar taşımak olacaktır.", "Là nhà điều hành, công việc của bạn sẽ là di chuyển các nền tảng bên dưới 'Springman' để cho phép anh ta tạo ra một con đường tăng dần.", "Як оператор, ваша робота буде рухатися платформи під 'Springman', щоб дозволити йому створити висхідний шлях.", "ऑपरेटर के रूप में, आपका काम 'स्प्रिंगमैन' के नीचे प्लेटफार्मों को स्थानांतरित करने के लिए उसे एक आरोही रास्ता बनाने के लिए किया जाएगा।", "Sebagai operator, tugas Anda adalah memindahkan platform di bawah 'Springman' untuk membiarkannya menciptakan jalur naik.", "كمشغل، سيكون عملك هو نقل المنصات تحت "سبرينغمان" للسماح له بإنشاء مسار تصاعدي."
"tut5", "What I've just circled on your interface are Platform Indicators. These show you which side to pull out a platform from.", "Ce que je viens de faire le tour de votre interface sont des indicateurs de plate-forme. Ceux-ci vous montrent de quel côté sortir une plate-forme de.", "Lo que acabo de dar vueltas en su interfaz son indicadores de plataforma. Estos le muestran de qué lado sacar una plataforma.", "То, что я только что кружил на вашем интерфейсе являются индикаторы платформы. Они показывают вам, с какой стороны вытащить платформу из.", "Was ich gerade auf Ihrer Benutzeroberfläche eingekreist habe, sind Plattformindikatoren. Diese zeigen Ihnen, von welcher Seite Sie eine Plattform herausziehen können.", "O que acabei de circular na sua interface são indicadores de plataforma. Estes mostram-lhe de que lado tirar uma plataforma.", "Apa yang saya baru sahaja dikelilingi pada antara muka anda adalah Penunjuk Platform. Ini menunjukkan kepada anda sisi mana untuk menarik keluar platform dari.", "To, co właśnie zakreśliłem na twoim interfejsie, to wskaźniki platformy. Pokazują one, z której strony wyciągnąć platformę.", "Quello che ho appena cerchiato sulla tua interfaccia sono indicatori di piattaforma. Questi mostrano da che parte tirare fuori una piattaforma.", "我刚刚在你的界面上圈出的都是平台指示器. 这些显示您从哪一边拉出平台.", "Az önce arayüzünüzde daire içine aldım platform göstergeleri. Bunlar size hangi taraftan bir platform çıkarabileceğinizi gösterir.", "Những gì tôi vừa khoanh tròn trên giao diện của bạn là Chỉ số nền tảng. Những điều này cho bạn thấy bên nào để kéo ra một nền tảng từ.", "Те, що я тільки що обведені на вашому інтерфейсі є індикатори платформи. Вони показують вам, з якого боку витягнути платформу.", "मैंने अभी आपके इंटरफ़ेस पर जो परिक्रमा की है वह प्लेटफ़ॉर्म संकेतक हैं। ये आपको दिखाते हैं कि किस तरफ से एक मंच खींचना है।", "Apa yang baru saja saya lingkari pada antarmuka Anda adalah Indikator Platform. Ini menunjukkan kepada Anda sisi mana untuk menarik keluar platform dari.", "ما كنت للتو دائرة على واجهة الخاص بك هي مؤشرات المنصة. هذه تظهر لك أي جانب لسحب منصة من."
"tut6", "Platforms are responsive to touches between their top and the top of the previous platform below them.", "Les plates-formes sont sensibles aux touches entre leur haut et le haut de la plate-forme précédente en dessous d’eux.", "Las plataformas responden a los toques entre su parte superior y la parte superior de la plataforma anterior debajo de ellos.", "Платформы реагируют на прикосновения между их верхней и верхней части предыдущей платформы под ними.", "Plattformen reagieren auf Berührungen zwischen ihrer Oberseite und der Oberseite der vorherigen Platte unter ihnen.", "As plataformas respondem aos toques entre o topo e o topo das placas anteriores por baixo.", "Platform responsif untuk menyentuh antara bahagian atas mereka dan bahagian atas platform sebelumnya di bawah mereka.", "Platformy reagują na dotyka między ich góry i górnej części poprzedniego plat spod nich.", "Piattaforme sono reattivi ai tocchi tra la loro parte superiore e la parte superiore del precedente platfrom sotto di loro.", "平台能够响应其顶部和顶部之间的接触, 而之前的平台顶部和顶部在它们下面.", "Platformlar, altlarından önceki plat'ların üst kısmı ile üst kısmı arasındaki dokunuşlara duyarlıdır.", "Các nền tảng đáp ứng với các lần chạm giữa đỉnh của chúng và đầu nền tảng trước đó bên dưới chúng.", "Платформи реагують на дотики між їх вершиною і вершиною попередньої платформи під ними.", "प्लेटफ़ॉर्म उनके ऊपर और उनके नीचे पिछले मंच के शीर्ष के बीच छूने के लिए उत्तरदायी हैं।", "Platform responsif terhadap sentuhan antara atas dan atas platform sebelumnya di bawahnya.", "تستجيب المنصات لللمسات بين أعلىها وأعلى المنصة السابقة أسفلها."
"tut7", "Here's a quick demonstration.", "Voici une démonstration rapide.", "Aquí hay una demostración rápida.", "Вот быстрая демонстрация.", "Hier ist eine kurze Demonstration.", "Aqui está uma demonstração rápida.", "Berikut adalah demonstrasi cepat.", "Oto krótka demonstracja.", "Ecco una rapida dimostrazione.", "下面是一个快速演示.", "İşte hızlı bir gösteri.", "Đây là một cuộc biểu tình nhanh chóng.", "Ось швидка демонстрація.", "यहां एक त्वरित प्रदर्शन है ।", "Berikut adalah demonstrasi cepat.", "هنا مظاهرة سريعة."
"tut8", "You must also be careful for enemies. If you see one, tap on them to neutralise them.", "Vous devez également être prudent pour les ennemis. Si vous en voyez un, appuyez sur eux pour les neutraliser.", "También debes tener cuidado con los enemigos. Si ves uno, tócalos para neutralizarlos.", "Вы также должны быть осторожны для врагов. Если вы видите один, нажмите на них, чтобы нейтрализовать их.", "Sie müssen auch vorsichtig für Feinde sein. Wenn Sie eine sehen, tippen Sie darauf, um sie zu neutralisieren.", "Também tens de ter cuidado com os inimigos. Se virem um, toquem neles para neutralizá-los.", "Anda juga mesti berhati-hati untuk musuh. Jika anda melihatnya, ketik pada mereka untuk meneutralkannya.", "Musisz również uważać na wrogów. Jeśli go widzisz, dotknij ich, aby je zneutralizować.", "Devi anche stare attento ai nemici. Se ne vedi uno, toccali per neutralizzarli.", "你也必须小心敌人. 如果您看到一个 点击它们来中和它们.", "Ayrıca düşmanlar için dikkatli olmalısınız. Birini görürseniz, nötralize etmek için onlara dokunun.", "Bạn cũng phải cẩn thận cho kẻ thù. Nếu bạn nhìn thấy, hãy nhấn vào chúng để vô hiệu hóa chúng.", "Ви також повинні бути обережні для ворогів. Якщо ви бачите його, натисніть на них, щоб нейтралізувати їх.", "दुश्मनों के लिए भी आपको सावधान रहना होगा। यदि आप एक देखते हैं, तो उन्हें निष्प्रभावी करने के लिए उन पर टैप करें।", "Anda juga harus berhati-hati terhadap musuh. Jika Anda melihatnya, ketuk untuk menetralisirnya.", "يجب أيضا أن نكون حذرين للأعداء. إذا رأيت واحدة، اضغط عليها لتحييدها."
"tut9", "Also, flooding has been activated, so don't fall.", "En outre, les inondations ont été activées, alors ne tombez pas.", "Además, las inundaciones se han activado, así que no caigas.", "Кроме того, наводнение было активировано, так что не падать.", "Auch Überflutungen wurden aktiviert, also nicht fallen.", "Além disso, as inundações foram ativadas, por isso não caias.", "Juga, banjir telah diaktifkan, jadi jangan jatuh.", "Ponadto, powodzie został aktywowany, więc nie spadać.", "Inoltre, l'allagamento è stato attivato, quindi non cadere.", "此外, 洪水已被激活, 所以不要跌倒.", "Ayrıca, sel aktif olmuştur, bu yüzden düşmeyin.", "Ngoài ra, lũ lụt đã được kích hoạt, do đó, không rơi.", "Крім того, повінь була активована, так що не впасти.", "इसके अलावा, बाढ़ सक्रिय किया गया है, तो गिर नहीं है ।", "Juga, banjir telah diaktifkan, jadi jangan jatuh.", "أيضا، تم تنشيط الفيضانات، لذلك لا تسقط."
"tut10", "Enough talking, lets get going. Start by pulling out that first platform closest to the bottom.", "Assez parler, allons-y. Commencez par retirer la première plate-forme la plus proche du bas.", "Basta de hablar, vamos. Comienza sacando la primera plataforma más cercana a la parte inferior.", "Хватит говорить, давайте идти. Начните с вытаскивания, что первая платформа ближе всего к нижней.", "Genug reden, lasst losgehen. Beginnen Sie, indem Sie die erste Plattform am nächsten an der Unterseite.", "Chega de conversa, vamos embora. Comece puxando a primeira plataforma mais perto do fundo.", "Cukup bercakap, mari kita pergi. Mulakan dengan menarik platform pertama yang paling dekat dengan bahagian bawah.", "Dość gadania, pozwala zacząć. Zacznij od wyciągnięcia pierwszej platformy znajdującej się najbliżej dołu.", "Basta parlare, andiamo avanti. Inizia tirando fuori la prima piattaforma più vicina al fondo.", "说够了, 我们开始吧. 首先拉出最接近底部的第一个平台.", "Yeterince konuş, hadi gidelim. En dibe en yakın ilk platformu çekerek başlayın.", "Nói chuyện đủ rồi, cho phép đi. Bắt đầu bằng cách kéo ra rằng nền tảng đầu tiên gần nhất với phía dưới.", "Досить говорити, давайте йти. Почніть з витягування цієї першої платформи, найближчої до нижньої частини.", "काफी बात कर रही है, देता है जा रहा मिलता है । नीचे के निकटतम उस पहले मंच को बाहर निकालकर शुरू करें।", "Cukup bicara, ayo pergi. Mulailah dengan menarik keluar platform pertama yang paling dekat ke bawah.", "كفى كلاماً، لنذهب ابدأ بسحب أول منصة أقرب إلى الأسفل."
"tapToCont", "tap to continue", "toucher pour continuer", "toque para continuar", "прикосновение, чтобы продолжить", "berühren, um fortzufahren", "toque para continuar", "sentuhan untuk meneruskan", "dotknij, aby kontynuować", "toccare per continuare", "触摸以继续", "dokunmaya devam etmek", "chạm để tiếp tục", "торкнутися, щоб продовжити", "जारी रखने के लिए स्पर्श", "sentuh untuk melanjutkan", "لمس للمتابعة"
"colors_title", "Colours", "Couleurs", "Colores", "Цвета", "Farben", "Cores", "Warna", "Kolory", "Colori", "颜色", "Renk", "Màu sắc", "Кольори", "रंग की", "Warna", "الالوان"
"color_buy_button", "Buy Random Colour for:", "Achetez la couleur aléatoire pour:", "Comprar color aleatorio para:", "Купить случайный цвет для:", "Kaufen Random Colour für:", "Compre Cor Aleatória para:", "Beli Warna Rawak untuk:", "Kup losowy kolor za:", "Acquista colore casuale per:", "购买随机颜色:", "Rastgele renk satın alın:", "Mua màu ngẫu nhiên cho:", "Купити випадковий колір для:", "के लिए यादृच्छिक रंग खरीदें:", "Beli warna acak untuk:", "شراء لون عشوائي ل:"
"frame_bottom", "bottom", "bas", "base", "Нижней", "unteres", "fundo", "bawah", "dół", "base", "基地", "alt", "Dưới", "Бази", "तल", "Dasar", "اسفل"
"frame_spring", "spring", "ressort", "resorte", "пружина", "Sprungfeder", "mola", "Spring", "sprężyna", "molla", "弹簧", "yayı", "Lò xo", "пружина", "वसंत", "pegas", "نابض"
"frame_top", "top", "haut", "superior", "верхний", "oben", "topo", "atas", "góra", "cima", "顶部", "üst", "hàng đầu", "Топ", "ऊपर", "puncak", "أعلى"
"no", "no", "non", "no", "нет", "Nein", "não", "tidak", "Nie", "no", "没有", "Hayır", "Không", "немає", "नहीं", "tidak", "لا"
"yes", "yes", "Oui", "si", "да", "Ja", "sim", "iya", "tak", "sì", "是", "Evet", "Đúng", "Так", "हाँ", "Iya", "نعم"
"ok", "ok", "ok", "ok", "ОК", "OK", "ok", "okey", "ok", "ok", "好", "okey", "đồng ý", "ок", "ओके", "Oke", "حسنا"
"buyTabColor_text", "Are you sure you want to buy a Random Colour for:", "Etes-vous sûr que vous voulez acheter une couleur aléatoire pour:", "¿Está seguro de que desea comprar un color aleatorio para:", "Вы уверены, что хотите купить случайный цвет для:", "Sind Sie sicher, dass Sie eine zufällige Farbe für kaufen möchten:", "Tem certeza de que quer comprar uma cor aleatória para:", "Adakah anda pasti hendak membeli warna rawak untuk:", "Czy na pewno chcesz kupić losowy kolor za:", "Sei sicuro di voler acquistare un colore casuale per:", "是否确实要为:", "Için rasgele bir renk satın almak istediğinizden emin misiniz:", "Bạn có chắc chắn muốn mua một màu ngẫu nhiên cho:", "Ви дійсно бажаєте придбати випадковий колір для:", "क्या आप वाकई एक यादृच्छिक रंग खरीदना चाहते हैं:", "Apakah Anda yakin ingin membeli warna acak untuk:", "هل أنت متأكد من أنك تريد شراء لون عشوائي لـ:"
"buyTabColor_newColor", "You Unlocked a New Colour!", "Vous avez déverrouillé une nouvelle couleur!", "¡Has desbloqueado un nuevo color!", "Вы открыли новый цвет!", "Sie haben eine neue Farbe freigeschaltet!", "Desbloqueou uma nova cor!", "Anda telah membuka kunci warna baru!", "Odblokowałeś nowy kolor!", "Hai sbloccato un nuovo colore!", "您解锁了新颜色!", "Yeni bir rengin kilidini açtın!", "Bạn đã mở khóa một màu sắc mới!", "Ви розблокували новий колір!", "आपने एक नया रंग खोल दिया है!", "Anda telah membuka warna baru!", "لقد قمت بفتح لون جديد!"
"colors_notEnough", "You do not have enough Screws to purchase this...", "Vous n’avez pas assez de vis pour l’acheter...", "No tienes suficientes tornillos para comprarlo...", "У вас нет достаточно винтов, чтобы купить его...", "Sie haben nicht genug Schrauben, um es zu kaufen...", "Não tem parafusos suficientes para comprá-lo...", "Anda tidak mempunyai skru yang cukup untuk membelinya...", "Nie masz wystarczająco dużo śrub, aby kupić to...", "Non hai abbastanza viti per comprarlo...", "你没有足够的螺丝买...", "Bunu satın almak için yeterli vida yok...", "Bạn không có đủ ốc vít để mua nó...", "У вас не вистачає гвинтів, щоб купити його...", "आपके पास इसे खरीदने के लिए पर्याप्त पेंच नहीं हैं...", "Anda tidak memiliki cukup sekrup untuk membelinya...", "ليس لديك مسامير كافية لشرائها..."
"allBought", "You have bought everything here!", "Vous avez tout acheté ici!", "¡Has comprado todo aquí!", "Вы купили все здесь!", "Sie haben hier alles gekauft!", "Comprou tudo aqui!", "Anda telah membeli segala-galanya di sini!", "Kupiłeś tu wszystko!", "Hai comprato tutto qui!", "你在这里买了所有的东西!", "Buradaki her şeyi satın aldın!", "Bạn đã mua mọi thứ ở đây!", "Ви купили все тут!", "बहुत अच्छा!", "Anda telah membeli semuanya di sini!", "لقد اشتريت كل شيء هنا!"
"buyTabSkin_text", "Are you sure you want to buy a Random Skin for:", "Êtes-vous sûr que vous voulez acheter une peau aléatoire pour:", "¿Estás seguro de que quieres comprar una piel aleatoria para:", "Вы уверены, что хотите купить случайную кожу для:", "Sind Sie sicher, dass Sie eine Random Skin kaufen möchten für:", "Tem certeza de que quer comprar uma pele aleatória para:", "Adakah anda pasti hendak membeli kulit rawak untuk:", "Czy na pewno chcesz kupić losową skórkę za:", "Sei sicuro di voler acquistare una pelle casuale per:", "您是否确定要为:", "Şu için rastgele bir cilt satın almak istediğinizden emin misiniz:", "Bạn có chắc chắn muốn mua một giao diện ngẫu nhiên cho:", "Ви впевнені, що хочете купити випадкову шкіру для:", "क्या आप वाकई इसके लिए एक यादृच्छिक त्वचा खरीदना चाहते हैं:", "Apakah Anda yakin ingin membeli kulit acak untuk:", "هل أنت متأكد من أنك تريد شراء الجلد عشوائي ل:"
"skin_buy_button", "Buy Random Skin For:", "Achetez une peau aléatoire pour:", "Compra una piel aleatoria para:", "Приобрети случайную кожу для:", "Kaufen Sie eine zufällige Haut für:", "Compre uma pele aleatória para:", "Beli kulit rawak untuk:", "Kup losową skórkę za:", "Acquista una pelle casuale per:", "购买随机皮肤:", "Şu için rastgele bir kaplama satın alın:", "Mua một giao diện ngẫu nhiên cho:", "Придбайте випадкову шкіру для:", "के लिए एक यादृच्छिक त्वचा खरीदें:", "Beli kulit acak untuk:", "شراء الجلد عشوائية ل:"
"silvers_title", "Silver", "Argent", "Plata", "Серебро", "Silber", "Prata", "Perak", "Srebro", "Argento", "银", "Gümüş", "Bạc", "Срібло", "चांदी", "Perak", "الفضه"
